size,location_score,age,price,rental_yield
1749.080237694725,3,28,360437.3127071853,0.23802724832718664
2901.4286128198323,8,16,758360.1170995253,0.40143213921326865
2463.98788362281,7,12,678922.3486137477,0.36386501728703696
2197.3169683940732,3,21,439689.3783580013,0.29297590335457757
1312.037280884873,6,45,435743.8366578172,0.2250178883114524
1311.9890406724053,4,17,384671.5655795367,0.20980456560202948
1116.167224336399,5,40,388956.5722993027,0.1943982380372482
2732.3522915498706,5,13,579053.7936396949,0.35129371623585864
2202.230023486418,7,32,605830.8966587557,0.3139305398756042
2416.145155592091,5,37,518507.56181734294,0.33246981069832315
1041.1689885916048,3,15,320329.0208468213,0.17841525413988238
2939.819704323989,10,12,854529.5193473032,0.442740171412088
2664.8852816008434,5,49,514832.41806987213,0.33600501074912603
1424.6782213565523,7,15,578893.2466456714,0.2477132944687643
1363.6499344142012,5,34,424282.2094550843,0.215129480819439
1366.8090197068677,5,6,486298.04799098196,0.23605774625105777
1608.4844859190755,9,17,664676.4303200849,0.2992076231483347
2049.5128632644755,3,48,361508.36564922077,0.2584601857776266
1863.8900372842315,6,49,489272.40724541876,0.25529317942694485
1582.4582803960839,1,20,269322.88255263964,0.21225620409811813
2223.705789444759,10,9,809929.0382719307,0.3705411004956888
1278.9877213040836,5,5,469371.99713997415,0.23019050191263926
1584.2892970704363,8,23,600534.3389720493,0.28549391092954124
1732.7236865873833,5,33,463404.9091485923,0.26454795356473126
1912.1399684340718,9,38,673622.8396407124,0.32582213912146885
2570.351922786027,6,14,642229.981984867,0.36031936957908145
1399.3475643167194,8,17,619571.284870848,0.25711547924007366
2028.4688768272233,10,19,769611.2183512961,0.3537552960904439
2184.829137724085,8,33,641054.5426914361,0.34106647432583076
1092.9008254399955,3,1,341996.2442018536,0.1864615656075877
2215.089703802877,7,13,643238.0343158874,0.3460678286190616
1341.048247374583,7,46,501299.53448272846,0.23185010947056928
1130.103185970559,10,27,667560.6692790316,0.2622735487669485
2897.7710745066665,6,6,680517.1000732984,0.41406925888342877
2931.2640661491187,7,6,730760.8142269996,0.43653712411186046
2616.7946962329224,2,33,414716.821865289,0.3158018435471953
1609.2275383467413,9,30,656663.0725934855,0.30007706238521564
1195.3442280127676,10,46,626661.6920323485,0.2550728856995474
2368.4660530243136,10,35,760392.1950657677,0.3788162214506214
1880.3049874792027,1,23,281944.4455708279,0.24077481743572926
1244.0764696895576,1,10,243337.0068230543,0.18891869256729898
1990.3538202225404,3,19,400950.44779408036,0.2557945393862925
1068.7770422304368,3,28,303687.2253556313,0.17258928506951673
2818.640804157564,1,23,385683.3838104477,0.32382926475349844
1517.559963200034,7,4,590496.8486970988,0.26238483046400324
2325.0445687079637,4,20,499869.2362218159,0.29814943592542087
1623.4221521788218,10,19,742433.9645596071,0.297575071287449
2040.1360423556216,2,42,311780.13487268216,0.2512720991643066
2093.420558686559,10,27,748599.1954364701,0.3476851489633885
1369.7089110510542,5,34,396800.3671879708,0.21984660632090858
2939.1692555291174,6,4,685653.6171982147,0.41244031264173675
2550.265646722229,9,38,727750.3589879554,0.36706654012229034
2878.997883128378,4,7,582827.6907649817,0.35496322103567557
2789.654700855298,2,48,382097.34284592327,0.3302799760727758
2195.79995762217,5,7,549698.902784262,0.31561271193108753
2843.7484700462337,3,26,484301.70442767424,0.3506999382684496
1176.985004103839,2,26,271269.18400180043,0.16757065162309717
1391.9657248382905,1,19,235019.28189258068,0.1987879428459732
1090.454577821076,10,9,701114.3676894282,0.2503548103339724
1650.6606615265287,2,20,338129.09401980403,0.2162303327137573
1777.354579378964,6,42,499210.0093476956,0.2834780684581656
